grb,ra,dec,coorderr,z
120422A,09h07m43s,+14° 00',3,0.283
120521C,14h17m09s,+42° 07',3,6
120624B,11h23m46s,+08° 56',3,2.1974
120711A,06h18m49s,-71° 01',3,1.405
120712A,11h18m25s,-20° 04',3,4.1745
120714B,23h41m44s,-46° 11',3,0.3984
120716A,20h52m21s,+09° 33',121*30,2.486
120722A,15h21m58s,+13° 15',3,0.9586
120724A,16h20m46s,+03° 31',3,1.48
120729A,00h52m13s,+49° 56',3,0.8
120802A,02h59m24s ,+13° 45',3,3.796
120805A,14h26m08s,+05° 48',3,3.1
120811C,13h18m50s,+62° 17',3,2.671
120815A,18h15m40s,-52° 08',3,2.36
120907A,04h58m58s,-09° 18',3,0.97
120909A,18h22m44s,-59° 26',3,3.93
120922A,15h39m01s,-20° 11',3,3.1
120923A,20h15m11s,+06° 14',3,7.8
121024A,04h41m52s,-12° 16',3,2.298
121027A,04h14m26s,-58° 48',3,1.773
121128A,20h02m20s,+54° 19',3,2.2
121201A,00h53m57s,-42° 57',3,3.385
121209A,21h47m12s,-08° 15',3,2.1
121211A,13h02m11s,+30° 10',3,1.023
121217A,10h14m54s,-62° 18',3,3.1
121229A,12h40m24s,-50° 36',3,2.707
130215A,02h53m55s,+13° 22',3,0.6
130408A,08h57m36s,-32° 22',3,3.757
130418A,09h56m10s,+13° 39',3,1.218
130420A,13h04m24s,+59° 25',3,1.297
130427A,11h32m33s,+27° 41',3,0.34
130427B,20h59m34s,-22° 32',3,2.78
130505A,09h08m14s,+17° 29',3,2.27
130511A,13h06m33s,+18° 42',3,1.3033
130514A,19h45m06s,-07° 57',3,3.6
130518A,23h43m14s,+47° 38',20,2.488
130603B,11h28m50s,+17° 03',3,0.3564
130604A,16h40m19s,+68° 13',3,1.06
130606A,16h37m37s,+29° 47',3,5.91
130610A,14h57m40s,+28° 11',3,2.092
130612A,17h19m13s,+16° 42',3,2.006
130701A,23h48m52s,+36° 06',3,1.155
130702A,15h12m36s,+16° 35',412,0.15
130831A,23h54m36s,+29° 27',3,0.48
130907A,14h23m31s,+45° 37',3,1.238
130925A,02h44m44s, -26° 08',3,0.347
131004A,19h44m36s,-02° 58',3,0.717
131011A,01h27m41s,+09° 33',315,1.874
131030A,23h00m19s,-05° 23',3,1.295
131103A,23h15m49s,-44° 40',3,0.599
131105A,04h44m03s,-62° 59',3,1.686
131108A,10h25m53s,+09° 54',30,2.4
131117A,22h09m21s,-31° 43',3,4.042
131231A,00h42m20s,-01° 51',9,0.642
140114A,12h33m56s,+12° 35',3,3
140206A,09h41m24s,+66° 45',3,2.73
140213A,07h00m52s,-73° 08',3,1.2076
140226A,14h45m58s,+15° 00',0.1,1.98
140301A,04h38m11s,-34° 17',3,1.416
140304A,02h02m40s,+33° 29',3,5.283
140311A,13h57m12s,+00° 37',3,4.954
140318A,12h16m13s,+20° 12',3,1.02
140419A,08h28m00s, +46° 13',3,3.956
140423A,13h09m10s,+49° 49',3,3.26
140428A,12h57m22s,+28° 21',3,4.7
140430A,06h51m43s,+23° 01',3,1.6
140506A,18h27m10s,-55° 34',3,0.889
140508A,17h02m31s,+46° 45',90*12,1.027
140509A,03h06m26s,-62° 39',3,2.4
140512A,19h17m29s,-15° 06',3,0.725
140515A,12h24m09s,+15° 05',3,6.32
140518A,15h08m55s,+42° 24',3,4.707
140606B,21h51m00s,+33° 41',180,0.384
140614A,15h24m56s,-79° 06',3,4.233
140620A,18h47m29s,+49° 44',120,2.04
140623A,13h13m00s,+75° 48',336,1.92
140629A,16h35m56s,+41° 53',3,2.275
140703A,00h51m58s,+45° 06',3,3.14
140710A,02h44m21s,+35° 30',3,0.558
140801A,03h01m00s,-30° 53',240,1.32
140808A,14h26m05s,+48° 36',220,3.29
140903A,15h52m09s,+27° 35',3,0.351
140907A,03h12m35s,+46° 36',3,1.21
141004A,05h06m56s,+12° 49',3,0.573
141028A,21h30m48s,-00° 17',24,2.33
141109A,09h38m02s,-00° 36',3,2.993
141121A,08h10m40s,+22° 14',3,1.47
141220A,13h00m12s,+32° 09',3,1.3195
141221A,13h13m05s,+08° 13',3,1.45
141225A,09h15m00s,+33° 48',3,0.915
150101B,12h32m10s,-10° 57',3,0.134
150120B,02h37m11s,+08° 05',3,3.5
150206A,00h40m21s,-63° 11',3,2.087
150301B,05h56m38s,-57° 59',3,1.5169
150314A,08h26m38s,+63° 50',3,1.758
150323A,08h32m46s,+45° 26',3,0.593
150403A,20h46m01s,-62° 42',3,2.06
150413A,12h41m32s,+71° 49',3,3.139
150423A,14h46m24s,+12° 17',3,1.394
150514A,04h59m24s,-60° 55',7,0.807
150518A,15h36m50s, +16° 16',60,0.256
150727A,13h35m58s,-18° 21',3,0.313
150728A,19h29m09s,+33° 54',3,0.46
150818A,15h21m47s,+68° 21',3,0.282
150821A,22h47m37s,-57° 52',3,0.755
150910A,00h22m42s,+33° 30',3,1.3585
150915A,21h18m55s,-34° 51',3,1.968
151021A,22h30m27s,-33° 12',3,2.33
151027A,18h09m58s,+61° 23',3,0.81
151027B,05h04m57s,-06° 26',3,4.063
151029A,02h34m08s,-35° 22',3,1.423
151031A,05h32m48s,-39° 05',3,1.167
151111A,03h47m19s,-44° 10',3,3.5
151112A,00h08m11s,-61° 42',3,4.1
151215A,06h14m23s,+35° 31',3,2.59
160117B,08h48m46s,-16° 20',3,0.87
160121A,07h16m19s,-23° 35',3,1.96
160131A,05h12m44s,-07° 04',3,0.972
160203A,10h47m48s,-24° 46',3,3.52
160227A,12h59m09s,+78° 38',3,2.38
160228A,07h09m17s,+26° 57',3,1.64
160314A,07h31m07s,+17° 00',3,0.726
160410A,10h02m43s,+03° 27',3,1.717
160425A,18h41m15s,-54° 22',3,0.555
160509A,20h40m24s,+76° 00',30,1.17
160623A,21h00m58s,+42° 16',6,0.367
160625B,20h33m04s,+06° 54',3,1.406
160629A,00h19m17s,+76° 59',3.1,3.332
160804A,14h46m33s,+10° 00',3,0.736
160821B,18h39m57s,+62° 24',3,0.16
161014A,22h10m31s,+07° 29',3,2.823
161017A,09h31m04s,+43° 08',3,2.013
161023A,20h44m08s,-47° 40',2.6,2.71
161108A,12h03m08s,+24° 52',3,1.159
161117A,21h28m17s,-29° 38',3,1.549
161129A,21h04m46s,+32° 07',3,0.645
161219B,06h06m52s,-26° 47',3,0.1475
170113A,04h06m36s,-71° 55',3,1.968
170202A,10h10m07s,+05° 00',3,3.645
170214A,17h05m19s,-01° 53',4.8,2.53
170405A,14h39m14s,-25° 15',3,3.51
170428A,22h00m15s,+26° 55',3,0.454
170519A,10h53m48s,+25° 23',3,0.818
170531B,19h07m35s,-16° 26',3,2.366
170604A,22h50m35s,-15° 25',3,1.329
170607A,00h29m22s,+09° 14',3,0.557
170705A,12h46m49s,+18° 18',3,2.01
170714A,02h17m17s,+01° 59',3,0.793
170817A,12h47m00s,-39° 48',700,0.009783
171010A,04h26m58s,-10° 32',14,0.3285
171020A,02h37m03s,+15° 11',3,1.87
171205A,11h09m47s,-12° 36',3,0.0368
171222A,09h53m10s,+35° 37',3,2.409
180115A,0h48m18s,-15° 36',,2.487
180205A,08h27m17s,+11° 33',3,1.409
180314A,06h37m06s,-24° 29',,1.445
180325A,10h29m44s,+24° 26',3,2.248
180329B,05h31m40s,-23° 42',3,1.998
180404A,05h34m15s,-37° 10',3,1
180418A,11h20m27s,+24° 57',3,1.55
180510B,05h11m57s,-62° 20',3,1.305
180620B,23h50m04s,-57° 57',3,1.1175
180624A,21h12m17s,-02° 20',3,2.855
180703A,00h26m10s,-67° 05',18,0.6678
180720B,00h02m07s,-02° 56',3,0.654
180728A,16h54m17s,-54° 02',3,0.117
180914B,22h09m48s,+24° 53',20,1.096
181010A,03h30m14s,-23° 02',3,1.39
181020A,00h55m52s,-47° 23',3,2.938
181110A,20h09m22s,-36° 54',3,1.505
181123B,12h17m23s,+14° 35',3,1.754
190106A,01h59m33s,+23° 51',3,1.859
190114A,04h22m11s,+02° 10',3,3.3765
190114C,03h38m02s,-26° 56',3,0.425
190627A,16h19m19s,-05° 18',3,1.942
190719C,16h00m50s,+12° 59',3,2.469
190829A,02h58m10s,-08° 58',3,0.0785
190919B,20h47m33s,-44° 43',3,3.225
191004B,03h16m42s,-39° 37',3,3.503
191011A,02h58m54s,-27° 51',3,1.722
191019A,22h40m09s,-17° 20',3,0.248
191221B,10h19m20s,-38° 08',3,1.148
200205B,07h11m13s,-56° 29',3,1.465
200522A,00h22m40s,-00° 17',3,0.554
200524A,14h11m00s,+60° 58',12,1.256
200613A,10h12m07s,+45° 51',8,1.2255
200826A,00h27m16s,+34° 02',27*15,0.7481
200829A,16h44m51s,+72° 20',3,1.25
201014A,01h23m23s,+27° 42',3,4.56
201015A,23h37m22s,+53° 24',3,0.426
201020A,17h24m59s,+31° 25',3,2.903
201020B,04h59m29s,+76° 59',13,0.804
201021C,00h50m12s,-55° 50',3,1.07
201024A,08h23m47s,+03° 23',3,0.999
201103B,02h48m44s,+12° 08',0.1,1.105
201104B,00h20m52s,+07° 49',3,1.954
201216C,01h05m26s,+16° 32',3,1.1
201221A,14h17m55s,-45° 25',3,5.7
201221D,11h24m12s,+42° 09',3,1.046
210104A,06h54m49s,+64° 40',3,0.46
210116A,08h15m15s,-05° 52',0.01,2.514
210204A,07h48m19s,+11° 25',0.01,0.876
210210A,17h31m15s,+14° 39',3,0.715
210222B,10h18m29s,-14° 54',3,2.198
210312B,10h23m22s,+76° 53',3,1.069
210321A,05h51m30s,+70° 07',3,1.487
210411C,19h46m14s,-39° 22',3,2.826
210420B,16h57m17s,+42° 34',3,1.4
210504A,14h49m11s,-30° 32',3,2.077
210517A,23h52m42s,-39° 06',3,2.486
210610A,13h37m08s,+14° 29',3,3.54
210610B,16h15m45s,+14° 23',3,1.13
210619B,21h18m51s,+33° 52',3,1.937
210702A,11h14m17s,-36° 44',3,1.16
210722A,01h48m06s,-06° 21',3,1.145
210731A,20h01m15s,-28° 02',3,1.2525
210822A,20h17m54s,+05° 16',3,1.736
210905A,20h36m15s,-44° 26',3,6.318
211023A,04h49m12s,+85° 18',6,0.39
211024B,10h18m45s,+24° 35',3,1.1137
211207A,09h58m30s,-24° 21',3,2.272
220101A,00h05m31s,+31° 45',3,4.618
220107A,11h19m03s,+34° 08',10,1.246
220117A,06h06m19s, -28° 25',3,4.961
220219B,16h03m39s,+31° 14',0.1,0.293
220521A,18h20m47s,+10° 21',3,5.6
220527A,21h34m17s,+21° 34',5,0.857
220627A,13h24m48s,-32° 30',12,3.084
221009A,19h13m03s,+19° 48',3,0.151
221110A,01h56m29s,-27° 19',3,4.06
221226B,01h31m40s,-41° 33',3,2.694
230116D,06h34m28s,+49° 52',?,3.81
