grb,ra,dec,coorderr,z,beta,beta_err,path_AB,path_raw
210312B,10h23m22s,+76° 53',3,1.069,0.6,0.04,mag-AB-extcorr-03-05-2023/210312B_magAB_extcorr.txt,mag-03-05-2023/210312B_mag.txt
210321A,05h51m30s,+70° 07',3,1.487,,,mag-AB-extcorr-03-05-2023/210321A_magAB_extcorr.txt,mag-03-05-2023/210321A_mag.txt
210411C,19h46m14s,-39° 22',3,2.826,,,mag-AB-extcorr-03-05-2023/210411C_magAB_extcorr.txt,mag-03-05-2023/210411C_mag.txt
210420B,16h57m17s,+42° 34',3,1.4,,,mag-AB-extcorr-03-05-2023/210420B_magAB_extcorr.txt,mag-03-05-2023/210420B_mag.txt
210504A,14h49m11s,-30° 32',3,2.077,,,mag-AB-extcorr-03-05-2023/210504A_magAB_extcorr.txt,mag-03-05-2023/210504A_mag.txt
210517A,23h52m42s,-39° 06',3,2.486,,,mag-AB-extcorr-03-05-2023/210517A_magAB_extcorr.txt,mag-03-05-2023/210517A_mag.txt
210610A,13h37m08s,+14° 29',3,3.54,,,mag-AB-extcorr-03-05-2023/210610A_magAB_extcorr.txt,mag-03-05-2023/210610A_mag.txt
210610B,16h15m45s,+14° 23',3,1.13,,,mag-AB-extcorr-03-05-2023/210610B_magAB_extcorr.txt,mag-03-05-2023/210610B_mag.txt
210619B,21h18m51s,+33° 52',3,1.937,0.89,0.04,mag-AB-extcorr-03-05-2023/210619B_magAB_extcorr.txt,mag-03-05-2023/210619B_mag.txt
210702A,11h14m17s,-36° 44',3,1.16,0.96,0.06,mag-AB-extcorr-03-05-2023/210702A_magAB_extcorr.txt,mag-03-05-2023/210702A_mag.txt
210722A,01h48m06s,-06° 21',3,1.145,,,mag-AB-extcorr-03-05-2023/210722A_magAB_extcorr.txt,mag-03-05-2023/210722A_mag.txt
210731A,20h01m15s,-28° 02',3,1.2525,,,mag-AB-extcorr-03-05-2023/210731A_magAB_extcorr.txt,mag-03-05-2023/210731A_mag.txt
210822A,20h17m54s,+05° 16',3,1.736,,,mag-AB-extcorr-03-05-2023/210822A_magAB_extcorr.txt,mag-03-05-2023/210822A_mag.txt
210905A,20h36m15s,-44° 26',3,6.318,0.6,0.04,mag-AB-extcorr-03-05-2023/210905A_magAB_extcorr.txt,mag-03-05-2023/210905A_mag.txt
211023A,04h49m12s,+85° 18',6,0.39,0.8,0.1,mag-AB-extcorr-03-05-2023/211023A_magAB_extcorr.txt,mag-03-05-2023/211023A_mag.txt
211024B,10h18m45s,+24° 35',3,1.1137,1.13,0.04,mag-AB-extcorr-03-05-2023/211024B_magAB_extcorr.txt,mag-03-05-2023/211024B_mag.txt
211207A,09h58m30s,-24° 21',3,2.272,,,mag-AB-extcorr-03-05-2023/211207A_magAB_extcorr.txt,mag-03-05-2023/211207A_mag.txt
220101A,00h05m31s,+31° 45',3,4.618,0.7,0.05,mag-AB-extcorr-03-05-2023/220101A_magAB_extcorr.txt,mag-03-05-2023/220101A_mag.txt
220107A,11h19m03s,+34° 08',10,1.246,,,mag-AB-extcorr-03-05-2023/220107A_magAB_extcorr.txt,mag-03-05-2023/220107A_mag.txt
220117A,06h06m19s, -28° 25',3,4.961,,,mag-AB-extcorr-03-05-2023/220117A_magAB_extcorr.txt,mag-03-05-2023/220117A_mag.txt
220219B,16h03m39s,+31° 14',0.1,0.293,,,mag-AB-extcorr-03-05-2023/220219B_magAB_extcorr.txt,mag-03-05-2023/220219B_mag.txt
220521A,18h20m47s,+10° 21',3,5.6,,,mag-AB-extcorr-03-05-2023/220521A_magAB_extcorr.txt,mag-03-05-2023/220521A_mag.txt
220527A,21h34m17s,+21° 34',5,0.857,2.55,0.05,mag-AB-extcorr-03-05-2023/220527A_magAB_extcorr.txt,mag-03-05-2023/220527A_mag.txt
220627A,13h24m48s,-32° 30',12,3.084,,,mag-AB-extcorr-03-05-2023/220627A_magAB_extcorr.txt,mag-03-05-2023/220627A_mag.txt
221009A,19h13m03s,+19° 48',3,0.151,0.75,0.016,mag-AB-extcorr-03-05-2023/221009A_magAB_extcorr.txt,mag-03-05-2023/221009A_mag.txt
221110A,01h56m29s,-27° 19',3,4.06,,,mag-AB-extcorr-03-05-2023/221110A_magAB_extcorr.txt,mag-03-05-2023/221110A_mag.txt
221226B,01h31m40s,-41° 33',3,2.694,,,mag-AB-extcorr-03-05-2023/221226B_magAB_extcorr.txt,mag-03-05-2023/221226B_mag.txt
230116D,06h34m28s,+49° 52',?,3.81,,,mag-AB-extcorr-03-05-2023/230116D_magAB_extcorr.txt,mag-03-05-2023/230116D_mag.txt
