filter_id	lambda_eff	zp_v	mag_fromVega_toST	mag_fromVega_toAB
CAHA.None.MUNICS.None.J	12247.31	1550.4	notfound	notfound
CAHA.None.MUNICS.None.Kp	20975.4	674.33	notfound	notfound
CAHA.None.MUNICS.None.R	6405.64	2985.76	notfound	notfound
CAHA.None.MUNICS.None.V	5346.84	3617.97	notfound	notfound
CASTOR.None.None.None.g	4703.67	4014.79	notfound	notfound
CASTOR.None.None.None.u	3548.15	1599.07	notfound	notfound
Catalog.None.None.2MASS.H	16620	1024	3.739	1.344
Catalog.None.None.2MASS.J	12350	1594	2.644	0.87
Catalog.None.None.2MASS.K	21590	666.8	4.798	1.814
Catalog.None.None.2MASS.Ks	21590	666.8	4.798	1.814
Catalog.None.None.SkyMapper.g	5016.05	3849.03	-0.247	-0.082
Catalog.None.None.SkyMapper.i	7732.83	2485.81	1.137	0.377
Catalog.None.None.SkyMapper.r	6076.85	3224.25	0.352	0.104
Catalog.None.None.SkyMapper.u	3500.22	1316.79	0.073	0.989
Catalog.None.None.SkyMapper.v	3878.68	2674.43	-0.493	0.28
Catalog.None.None.SkyMapper.z	9120.25	2212.98	1.615	0.502
Catalog.None.None.TYCHO.B	4280	3843.85	-0.667	-0.097
Catalog.None.None.TYCHO.V	5340	3653.89	-0.091	-0.035
Catalog.None.None.USNO.B	4297.17	3998.34	notfound	-0.107512
Catalog.None.None.USNO.g	4640.42	3965.95	notfound	-0.125
Catalog.None.None.USNO.i	7439.49	2602	notfound	0.332
Catalog.None.None.USNO.R	6040.44	3228.9	notfound	0.190278
Catalog.None.None.USNO.r	6122.33	3161.98	notfound	0.119
Catalog.None.None.USNO.V	5394.29	3624.13	notfound	0.006521
"CP.Gemini-South(8,1m).AcqCamS.None.B"	4290.5	3797.05	notfound	notfound
"CP.Gemini-South(8,1m).AcqCamS.None.I"	8574.01	2269.62	notfound	notfound
"CP.Gemini-South(8,1m).AcqCamS.None.R"	6859.29	2764.95	notfound	notfound
"CP.Gemini-South(8,1m).AcqCamS.None.U"	3797.02	2216.35	notfound	notfound
"CP.Gemini-South(8,1m).AcqCamS.None.V"	5533.98	3477.45	notfound	0.026
"CP.Gemini-South(8,1m).GPI.None.H"	16322.6	1030.04	notfound	1.38
"CP.Gemini-South(8,1m).GPI.None.J"	12216.9	1594.92	notfound	0.94
"CP.Gemini-South(8,1m).GPI.None.K1"	20294.02	733.19	notfound	notfound
"CP.Gemini-South(8,1m).GPI.None.K2"	22416.73	620.64	notfound	notfound
"CP.Gemini-South(8,1m).GPI.None.Y"	10376.26	2001.12	notfound	0.634
"CP.Gemini-South(8,1m).GSAOI.None.H"	16205.36	1040.21	notfound	1.38
"CP.Gemini-South(8,1m).GSAOI.None.Hcont"	15719.48	1093.78	notfound	notfound
"CP.Gemini-South(8,1m).GSAOI.None.J"	12402.76	1565.59	notfound	0.94
"CP.Gemini-South(8,1m).GSAOI.None.JCont"	12082.8	1654.26	notfound	notfound
"CP.Gemini-South(8,1m).GSAOI.None.K"	21803.68	649.89	notfound	notfound
"CP.Gemini-South(8,1m).GSAOI.None.Klongcont"	22768.97	610.75	notfound	notfound
"CP.Gemini-South(8,1m).GSAOI.None.Kp"	20950.98	693.83	notfound	notfound
